"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"DOM_A01",2330.145,0.343,10.331,0,0,0,0,0,7214.25,107.915,5.434,0.033,0,0.513,31.04,0.029,0.461,0.166,0,0,0.049,0,18.642,0,0,0,0.058,0,0.015,56.038,55.351,0,0,0,0.067,0,940.159,0.302,0,0,0.01,6.21,0.455,11.745,26.676,6.683,0,6.33,4.152,0,7288.474,1.226,0.269,93.82,1.122,0,159.26,384.409,0,18762.185
"DOM_A02",1.597,0.036,0.028,0.006,0,0,0,0,5.144,0.097,10.411,13.13,0.002,0.156,0.021,8.201,0.006,0.008,0.002,0.013,0.055,0.011,0.039,0.004,0.093,0.003,3.108,0.002,0.01,1.089,0.205,0.004,0.001,0.008,0.007,0.002,0.883,0.005,0.001,0.008,0.021,0.036,0.069,0.137,0.079,0.016,0.02,0.013,0.081,0,6.483,0.427,0.072,8.519,0.01,0,0.344,3.781,0,64.504
"DOM_A03",1.166,0.017,34.922,0,0,0,0,0,67.128,0.004,0,0,0,0,0.001,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0.002,1.419,0,0,0,0,0,206.257,0,0,0,0,0.073,0,0.111,1.284,0.332,0.224,0.451,0.216,0,1204.744,0.232,0,0.006,3.698,0,13.114,1218.504,0,2753.909
"DOM_B05",0.006,0,0.002,0.254,0.002,0.056,0.331,0.199,0.719,2.087,0,1.402,9.189,14.422,0.019,1.111,24.621,53.963,0.098,0.025,0.814,0.028,0.037,0.002,0,0,0.022,89.107,0.056,13.188,0.023,0,0,0,0,0,0.001,0,0,0,0,0.001,0.001,0.006,0.003,0.003,0.001,0.002,0,0,3.099,0,0.006,0.205,0,0,0,47.031,0,262.143
"DOM_B06",0,0,0,0,0.406,0,0.001,0.001,0.003,0.004,0,0.007,363.29,0.089,0,0.006,0.186,0.102,0.004,0.001,0.008,0,0.001,0,0,0,0.001,168.364,0,0.131,0.002,0.001,0,0.001,0,0,0,0,0,0,0,0.001,0,0,0.001,0,0,0,0,0,0.017,0,0.004,0.157,0,0,0,31.529,0,564.322
"DOM_B07",0,0,0,0,0.003,0,0.002,0.001,0.006,0.007,0,0.012,0.036,0.146,0,0.011,0.299,0.184,0.009,0.003,0.037,0.003,0.003,0.001,0.001,0.001,0.002,0.191,0.001,0.217,0.016,0.001,0,0,0.001,0,0.001,0.002,0.001,0.001,0.003,0.009,0.01,0.002,0.007,0.001,0.002,0,0.002,0,0.024,0,0.008,0.153,0,0,0.005,179.604,0,181.029
"DOM_B08",0.045,0,0.02,0.206,0,0.187,4.005,0.902,6.123,11.594,0,10.336,29.042,281.959,0.119,10.499,494.999,322.991,8.834,0.321,6.372,0.173,0.444,0.012,0,0,0.217,98.57,0.351,321.033,0.162,0,0,0,0,0,0,0,0,0,0,0,0.006,0.038,0.017,0.014,0,0.011,0,0,43.384,0,0.001,0.022,0,0,0,63.862,0,1716.871
"DOM_B09",0.038,0,0.028,0.175,4.703,0.115,0.49,0.909,2.598,0.006,0,9.409,32.312,3.789,0.038,7.508,94.161,7.977,2.448,0.26,2.118,0.055,0.32,0.012,0,0,0.218,186.348,0.122,87.803,0.092,0,0,0,0,0,0,0,0,0,0,0,0.005,0.013,0.021,0.004,0,0.003,0,0,0.005,0,11.63,458.212,0,0,0,14.078,0,928.025
"DOM_C10T12",1858.75,0.248,103.84,0.055,0.069,0.039,0.373,0.213,4522.511,23.577,2.042,27.786,3.643,120.349,36.655,23.616,17.684,19.006,5.462,12.41,109.329,7.221,11.496,3.2,4.033,3.665,75.22,3.255,4.636,22.049,260.6,6.565,1.064,3.663,2.226,0.695,4404.756,5.814,2.649,2.559,3.049,48.766,14.597,3.461,149.445,32.521,42.65,381.465,31.124,0,21053.871,5.65,9.407,71.569,6.966,0,612.434,3736.416,0,37916.414
"DOM_C13T15",31,0.048,12.43,0.119,0.188,0.082,0.802,0.465,86.518,3614.522,2.647,75.691,5.709,232.046,7.979,176.222,25.57,29.431,5.354,49.296,344.444,22.897,44.324,41.325,27.044,18.274,320.83,4.065,4.381,70.993,137.063,6.895,0.479,5.258,2.691,1.574,156.01,6.713,4.789,6.757,5.157,8.393,59.702,6.281,44.672,11.433,14.325,6.41,47.249,0,5556.849,1.095,3.059,140.226,27.796,0,429.275,7227.128,0,19171.977
"DOM_C16",11.023,0.001,0.83,0.177,0.007,0.004,0.043,0.028,4.542,1.376,356.423,45.542,0.262,3.974,0.325,3.181,6.066,1.951,5.319,22.04,14.413,6.634,14.841,5.248,27.48,1.921,207.823,0.786,0.178,747.681,41.285,0.44,0.035,0.112,0.793,0.19,30.641,1.028,0.155,0.436,0.612,1.258,16.355,1.532,2.712,4.966,0.775,1.661,18.541,0,65.682,0.051,0.247,11.282,0.332,0,20.709,198.88,0,1910.833
"DOM_C17_18",16.463,0.276,1.605,0.037,0.315,0.025,0.233,0.14,448.093,77.593,30.154,2483.656,3.581,176.026,47.072,153.438,84.084,30.813,31.711,96.084,595.236,61.768,60.183,29.28,2.66,11.698,186.779,5.31,8.794,110.941,973.354,13.439,0.373,6.914,8.428,10.291,493.908,660.041,77.427,20.69,145.308,43.506,769.105,291.67,459.514,187.875,108.229,58.896,473.621,0,874.794,0.074,1.193,23.629,5.286,0,83.489,2366.241,0,12911.342
"DOM_C19",254.474,1.08,166.224,33.656,3.608,23.514,248.044,118.458,200.596,182.787,25.423,179.364,1198.735,6528.64,29.208,421.312,370.623,1723.242,97.351,338.604,1265.963,176.819,208.819,70.907,26.36,27.995,103.863,201.357,83.298,784.233,1199.181,1715.852,112.914,1938.625,146.038,35.713,144.356,21.218,33.243,6.001,19.259,51.775,103.399,206.573,188.884,53.505,78.658,17.763,102.333,0,2662.42,0.351,1.132,24.13,44.001,0,256.264,16302.165,0,40560.309
"DOM_C20",583.113,0.113,4.328,2.358,3.264,2.315,15.222,9.324,324.526,1319.855,46.48,695.558,139.282,24746.096,270.041,3917.499,383.541,350.026,399.963,795.217,11594.48,400.156,224.262,231.885,100.032,70.583,611.554,22.555,141.26,800.824,456.219,18.226,0.802,6.386,7.651,1.539,293.909,63.77,15.812,7.887,11.504,20.987,423.209,391.688,69.683,126.337,227.817,37.597,183.017,0,2682.587,1.03,12.317,271.143,2.529,0,113.194,31877.284,0,85529.837
"DOM_C21",37.556,0.003,1.794,0.024,0.04,0.019,0.167,0.09,62.404,6.199,0.325,3.403,1.832,82.891,230.553,13.388,3.072,6.992,2.048,6.854,71.021,4.231,5.392,1.812,2.524,2.184,6.288,0.822,0.707,10.875,18.665,1.308,0.203,1.649,0.534,0.097,26.855,0.881,1.367,1.836,2.272,2.356,36.895,2.138,132.581,11.506,996.857,1.597,3.731,0,768.864,0.803,1223.395,166.994,1.141,0,37.859,1076.418,0,5084.311
"DOM_C22",76.81,0.038,2.116,0.259,0.202,0.149,1.357,1.077,570.947,230.689,38.83,255.261,7.035,540.382,95.692,1299.8,69.27,35.783,41.493,329.142,2649.621,429.294,595.649,447.999,14.519,190.673,654.496,4.346,46.023,1304.683,1109.692,83.876,0.509,2.46,4.763,1.011,335.623,18.455,8.37,4.827,4.027,10.205,108.074,60.658,88.86,36.844,26.559,16.083,20.833,0,1173.723,0.148,1.029,97.089,7.209,0,9.4,8403.705,0,21567.67
"DOM_C23",7.172,0.01,1.023,0.115,0.115,0.074,0.742,0.49,93.397,147.347,2.035,52.213,5.744,176.399,32.7,25.81,1559.816,317.448,59.72,82.97,3216.411,148.275,100.182,30.177,46.069,7.135,79.371,7.002,168.612,5426.059,59.126,8.618,0.442,1.251,3.171,2.145,65.287,1.985,2.636,2.892,4.698,11.937,33.434,9.183,135.054,59.371,27.359,2.913,4.101,0,314.282,0.414,3.107,106.451,1.043,0,8.55,2244.55,0,14908.628
"DOM_C24A",0.608,0.003,1.737,0.022,0.591,0.014,0.118,0.118,3.523,4.86,2.177,7.896,7.628,62.477,1.793,115.724,152.329,14154.946,70.976,9596.325,850.058,1016.521,5946.82,1194.337,633.786,689.109,1332.263,10.461,161.244,6923.681,53.563,1.719,0.045,0.334,6.744,0.35,0.407,0.985,0.604,0.995,2.607,10.981,36.638,12.827,30.158,12.466,0.231,0.365,6.441,0,3.602,0.062,1.182,11.949,0,0,0.046,11609.239,0,54746.683
"DOM_C24B",1.163,0.023,0.041,0.028,0.111,0.018,0.153,0.149,13.45,2.017,1.629,28.215,0.582,210.094,2.769,13.743,16.81,951.739,3636.333,580.781,1019.027,653.856,234.977,88.43,7.55,59.988,85.29,0.672,82.444,94.224,35.887,1.276,0.022,0.584,0.906,0.122,1.964,1.511,0.4,1.832,6.165,17.025,13.785,4.586,23.834,2.667,1.23,0.91,2.462,0,12.136,0.258,6.3,139.206,0,0,0.112,6847.351,0,14908.84
"DOM_C25",50.837,0.12,2.31,1.121,1.036,0.607,6.1,4.752,440.243,56.353,30.443,53.81,18.66,266.191,21.457,289.039,122.556,817.895,295.61,3698.669,2498.479,1162.622,2571.138,605.45,427.126,267.813,961.837,10.78,40.606,5514.942,197.715,20.343,4.213,13.837,17.308,2.651,178.866,10.072,9.311,28.851,10.958,39.061,114.776,61.16,545.527,62.606,101.966,12.221,50.632,0,1503.594,0.613,139.236,3298.603,6.562,0,21.075,14939.936,0,41630.298
"DOM_C26",215.774,0.213,33.706,2.59,2.125,1.79,18.175,9.335,588.898,585.767,29.236,215.825,186.129,2559.524,85.867,498.001,277.903,892.413,145.728,730.206,44088.216,1438.575,1124.772,278.254,434.057,306.667,692.258,116.162,157.965,1628.753,1615.882,139.343,10.31,160.831,41.57,16.938,492.84,135.172,199.521,762.182,181.627,205.01,694.017,174.136,317.79,210.183,476.63,87.117,118.199,0,18498.196,4.463,124.333,22950.795,0,0,320.192,223722.515,0,329004.675
"DOM_C27",7.647,0.05,3.581,0.237,0.463,0.12,1.217,0.988,20.082,15.111,1.595,11.291,7.165,72.097,4.513,28.62,19.327,49.422,8.806,70.213,1145.695,3156.762,704.235,119.253,134.539,49.107,193.698,9.702,12.055,1530.144,115.141,12.936,1.69,10.292,8.205,1.004,25.171,9.263,53.09,33.481,9.116,86.204,90.666,40.47,81.255,80.859,49.055,6.789,17.579,0,2943.96,0.379,58.435,2385.542,0,0,44.9,14372.526,0,27915.743
"DOM_C28",21.348,0.033,2.846,1.462,2.588,0.901,8.602,7.501,38.758,14.838,3.579,17.871,13.57,71.927,3.029,37.91,70.245,79.88,11.342,133.351,896.768,229.375,1897.793,112.491,81.153,44.067,504.277,7.736,37.839,566.022,96.254,9.564,0.671,4.74,7.664,1.942,27.192,5.893,9.537,10.937,7.845,92.964,32.466,28.239,50.617,26.626,20.849,5.564,18.166,0,249.53,0.461,8.413,9895.826,18.079,0,9.9,25132.508,0,40691.548
"DOM_C29",1.783,0.013,0.316,0.058,0.099,0.048,0.411,0.278,7.435,5.439,0.81,3.299,1.854,17.306,0.742,13.085,5.284,10.43,2.697,21.046,98.669,21.635,39.242,2543.124,6.4,60.317,11.083,1.092,1.895,43.79,409.905,57.272,0.322,2.434,3.097,0.743,18.044,1.715,2.135,3.753,4.327,7.79,11.717,24.871,18.893,3.409,7.49,3.388,4.627,0,3207.386,0.392,63.127,2577.896,4.155,0,52.321,7975.752,0,17386.642
"DOM_C301",0.071,0.034,406.636,0.001,0.034,0.001,0.005,0.006,0.527,0.304,0.205,1.772,2.302,9.413,0.005,1.775,0.563,29.657,2.585,3.149,130.549,0.817,2.622,3.273,7584.464,4718.347,662.781,4.368,3.709,3.463,0.451,172.624,0.485,19.4,77.106,0.135,0.029,0.123,0.002,0.003,0.007,0.159,0.091,1.278,28.235,0.037,0.687,1.206,0.055,0,0.04,0.015,0.331,3666.648,9.513,0,0.003,386.725,0,17938.827
"DOM_C302T309",0.775,0.083,1.552,0.011,0.069,0.008,0.07,0.051,1.047,0.67,0.253,2.226,1.311,12.137,0.126,3.936,1.464,34.374,3.222,4.543,172.431,2.783,6.189,47.012,576.32,1310.674,419.528,5.498,4.886,15.893,95.311,14.13,0.584,72.875,1.955,0.185,0.528,0.896,0.207,0.901,4.6,9.997,32.842,4.447,109.16,1.788,23.582,1.861,7.283,0,1928.773,0.24,71.519,2160.522,2.294,0,0.03,8908.544,0,16084.193
"DOM_C31T33",10.938,1.377,51.314,0.303,1.442,0.199,1.568,1.707,69.476,121.42,37.685,90.651,32.261,354.841,31.492,99.959,38.575,786.376,96.34,160.85,4015.214,78.14,146.701,107.72,38.601,45.919,2407.946,112.686,173.593,516.022,290.079,255.034,12.461,471.646,68.078,18.263,93.462,23.546,37.777,37.328,98.736,55.72,233.931,147.751,299.603,243.044,1871.221,137.165,214.291,0,5214.645,0.737,260.863,4061.551,15.18,0,364.637,4820.912,0,28978.975
"DOM_D",115.875,0.567,35.849,0.978,5.667,0.643,5.831,3.155,504.632,379.925,30.073,574.853,284.489,2990.977,70.069,542.219,585.649,1365.518,312.014,534.665,7116.584,199.881,336.298,194.408,37.303,50.566,226.867,377.325,286.567,315.453,1933.732,167.905,1.266,16.629,58.749,11.151,700.256,40.88,295.357,44.789,152.957,256.597,138.241,48.363,303.007,452.982,460.921,124.716,362.105,0,2994.726,2.912,131.699,465.23,0.056,0,3.405,49.761,0,26703.294
"DOM_E",40.438,0.035,3.196,0.178,0.314,0.104,0.931,0.634,108.596,34.312,3.862,525.666,32.352,248.234,7.996,38.14,63.648,1616.343,585.412,52.476,425.865,16.809,25.307,16.47,3.028,15.042,26.654,8.765,2084.904,38.7,113.773,75.188,0.274,0.833,6.723,1.007,61.112,5.382,8.623,3.601,7.731,38.102,124.736,20.479,1441.822,323.269,182.211,7.724,18.544,0,595.753,3.537,116.376,216.96,0,0,0.868,28.798,0,9427.836
"DOM_F",148.838,0.896,34.435,1.81,2.814,0.917,9.793,7.074,232.393,118.642,16.346,88.778,42.092,432.771,42.939,137.773,206.018,692.613,123.71,447.618,3129.056,573.678,364.942,114.733,179.702,59.335,329.273,110.058,376.919,1207.205,2469.366,317.355,2.577,20.809,166.77,18.382,254.364,148.913,480.275,51.992,132.422,7225.901,516.433,173.835,1482.368,551.106,337.191,85.944,280.474,0,219.273,2.985,3.373,52478.277,0.275,0,1.944,1109.469,0,77765.243
"DOM_G",1237.332,0.799,140.369,10.794,4.749,7.521,75.992,39.971,3250.115,1721.287,105.148,729.907,601.825,7250.996,246.811,1363.245,885.221,3419.812,523.394,2674.096,16979.402,1629.142,2518,929.374,968.08,863.45,2018.238,335.208,183.975,4729.987,3711.599,610.032,36.604,515.977,140.986,48.064,2373.796,344.688,344.897,417.098,251.474,376.963,797.435,396.492,638.818,338.468,1461.898,294.227,458.27,0,24840.443,57.505,974.962,14134.777,0.83,0,996.06,51871.887,0,161878.49
"DOM_H49",50.263,0.533,9.9,7.356,8.15,4.606,44.853,30.726,159.803,63.396,12.741,46.477,162.001,350.652,15.681,66.258,284.908,403.087,46.851,289.795,1002.197,153.043,320.157,79.261,41.438,54.998,175.905,127.466,117.533,889.497,641.532,110.876,47.685,43.284,250.949,228.445,154.22,36.001,14.918,58.585,129.118,86.856,215.92,117.688,127.974,147.863,300.404,22.312,96.093,0,2172.285,1.086,295.97,813.382,0,0,199.321,3493.616,0,14825.915
"DOM_H50",11.674,0.023,118.007,0.148,22.279,0.094,71.126,0.491,66.834,14.488,2.991,10.632,574.007,117.448,2.611,84.53,34.479,95.418,9.823,437.181,258.497,319.608,50.222,15.523,9.259,15.118,481.412,31.696,2.838,107.535,78.25,616.438,5711.126,31.268,1041.758,13.039,23.174,3.729,5.703,4.842,2.808,2.741,10.929,207.473,200.563,88.116,18.998,2.41,174.143,0,286.956,0.114,7.122,245.49,0,0,305.681,5657.898,0,17706.765
"DOM_H51",8.982,0.005,0.884,0.111,0.636,0.071,0.698,0.457,33.07,11.585,1.979,11.293,27.022,56.509,3.321,11.094,12.252,17.274,5.579,19.01,209.313,25.379,85.167,8.249,3.412,5.228,29.997,15.669,2.009,66.71,71.772,5.739,0.448,12.374,2.074,513.423,25.808,9.33,1.969,4.455,6.214,2.922,30.141,27.844,61.513,56.245,29.358,5.089,80.366,0,906.519,0.057,26.524,0.327,0,0,1093.084,6084.516,0,9731.074
"DOM_H52",6.191,0.103,7.965,0.154,0.444,0.098,0.94,0.581,75.953,39.355,9.653,22.414,17.743,133.156,7.331,56.121,60.003,101.857,13.479,126.477,513.898,72.371,118.574,37.929,8.956,16.865,120.169,12.484,3.581,102.324,829.469,73.913,144.702,342.351,160.183,9.731,84.09,11.184,22.951,14.149,14.709,19.764,19.485,8.883,55.093,6.297,22.493,7.294,6.966,0,573.95,1.505,125.09,273.388,0,0,24.687,4971.389,0,9510.887
"DOM_H53",0.345,0.031,2.574,0.084,0.001,0.072,0.415,0.469,18.33,12.942,2.653,11.967,0.533,12.293,4.589,11.543,6.127,12.207,3.395,20.199,161.098,16.745,32.436,4.988,1.058,2.462,15.355,5.564,8.486,54.174,426.971,11.998,0.444,5.28,34.016,101.284,647.815,16.286,39.256,10.337,100.561,35.375,70.819,29.418,189.787,30.971,30.792,12.602,41.424,0,844.131,0.006,0.031,1.375,0.63,0,24.899,74.021,0,3203.663
"DOM_I",17.851,0.635,3.205,0.709,2.156,0.671,3.23,6.495,110.891,110.057,9.23,24.336,4.813,126.591,19.367,113.308,43.169,48.427,28.07,132.659,832.207,143.065,190.805,25.741,7.955,23.487,136.752,1.561,49.931,250.101,2087.013,33.282,1.79,64.907,32.548,2.172,143.663,94.367,43.965,67.174,152.994,234.698,565.118,75.066,437.563,193.242,172.736,76.469,2277.579,0,26014.502,63.484,301.116,32.162,0.03,0,1126.802,164.497,0,36926.414
"DOM_J58T60",0.348,0.387,0.226,0.185,0.391,0.126,1.165,0.78,58.561,12.795,2.88,10.056,0.936,34.713,12.262,15.944,9.738,9.493,4.111,17.255,352.876,20.658,27.682,12.461,2.976,11.124,24.508,1.729,5.693,76.425,331.769,17.806,0.142,6.349,8.844,5.435,37.294,1163.375,265.127,97.558,46.332,90.658,721.186,113.709,169.629,173.916,34.655,113.74,299.957,0,1375.111,11.365,210.605,1088.029,1.43,0,57.216,1739.569,0,8909.29
"DOM_J61",5.047,0.242,2.32,0.16,0.295,0.119,0.994,0.783,60.326,30.585,4.455,51.047,1.304,58.407,9.091,35.477,24.141,20.483,6.533,54.635,422.177,43.855,99.874,15.182,5.66,10.937,49.642,2.032,16.081,215.753,829.451,42.738,0.701,23.03,24.945,10.692,179.329,89.421,1330.653,604.677,228.181,150.911,297.342,114.88,381.76,117.007,216.898,45.179,298.617,0,4831.19,1.211,1.904,262.155,2.96,0,415.569,1029.13,0,12778.168
"DOM_J62_63",2.823,0.262,1.398,0.257,0.919,0.178,1.69,1.094,116.186,37.483,6.951,37.988,6.919,109.307,18.583,60.86,32.513,40.844,7.636,41.004,1044.054,83.539,65.27,44.181,12.788,19.735,94.887,3.504,21.852,177.352,1742.29,31.568,3.637,105.133,25.566,14.488,290.518,147.674,226.013,1892.495,473.768,473.566,469.528,160.71,542.791,114.54,167.167,46.422,110.075,0,863.108,2.005,13.525,5070.475,1.01,0,40.179,3367.261,0,18487.568
"DOM_K",123.063,0.329,27.749,2.554,7.173,1.528,14.516,12.323,571.363,334.062,56.535,313.401,100.366,833.231,114.521,384.356,308.43,737.711,286.62,683.699,6188.427,530.481,800.898,337.904,70.042,139.048,414.435,102.042,163.282,1118.214,4832.157,269.964,29.884,203.035,134.559,45.85,662.924,117.969,180.536,375.312,14868.45,4844.194,625.449,522.754,1944.678,194.027,346.434,155.851,190.49,0,17425.057,17.099,411.632,253.495,15.569,0,401.122,4377.674,0,68224.467
"DOM_L",15.581,0.221,3.261,0.107,0.29,0.123,0.924,0.808,158.721,91.436,10.787,102.479,4.39,127.827,17.081,59.536,54.449,50.016,14.934,183.112,1026.729,192.765,189.817,35.892,9.852,22.316,134.655,3.095,20.787,462.762,4228.334,128.701,4.872,35.267,116.429,23.987,1971.957,160.83,74.342,241.072,522.68,902.588,540.03,200.67,77.576,68.474,406.85,314.613,279.474,0,53492.183,59.259,13.216,8221.112,0.02,0,1110.488,258.434,0,76448.215
"DOM_M",45.977,2.13,0.615,2.578,6.001,1.997,16.11,13.997,460.363,94.159,13.773,85.538,18.349,270.452,108.595,170.207,98.246,70.932,37.555,115.545,2812.383,189.868,197.806,122.412,38.616,88.593,159.684,23.54,53.694,2446.957,2688.429,58.132,0.661,23.841,38.305,42.654,227.255,300.004,221.857,202.113,550.144,1529.4,1063.5,258.005,1831.078,84.338,164.117,72.935,296.853,0,434.97,28.822,347.563,5889.476,17.781,0,91.16,6135.211,0,30365.276
"DOM_N",9.304,7.898,9.288,1.071,9.829,0.616,4.774,6.008,218.219,108.768,8.138,86.253,25.162,365.224,23.637,101.176,203.373,276.749,70.333,328.734,2931.083,205.173,269.403,159.437,41.961,82.775,203.525,26.141,96.375,458.586,2039.999,304.423,29.531,178.84,180.191,67.171,300.271,78.518,175.732,116.572,336.247,341.967,326.601,500.6,1092.688,369.85,248.857,92.18,60.556,0,1895.556,7.275,223.223,134.248,0.12,0,234.597,2311.57,0,17986.397
"DOM_O",75.429,0.91,0.118,0.376,0,0.13,1.706,1.35,149.484,29.883,11.151,29.846,4.744,54.86,15.776,37.351,29.218,28.214,12.494,85.041,348.26,47.34,124.377,39.089,4.267,8.274,46.729,16.348,39.356,228.635,715.755,103.332,1.181,4.166,20.109,0.89,32.183,26.67,45.559,16.878,119.501,233.73,58.456,45.147,211.062,61.937,52.376,49.512,5.176,0,1901.793,25.054,55001.163,0.885,0.01,0,1.505,3.63,0,60208.417
"DOM_P",15.761,0.083,0.819,0.011,0.147,0.008,0.078,0.048,24.065,9.963,3.02,7.737,1.062,25.066,5.376,6.816,10.38,35.532,15.151,50.871,248.66,208.043,19.286,8.187,5.912,5.23,32.502,2.973,32.031,99.898,127.468,6.851,0.971,19.001,5.065,1.927,16.826,33.492,92.752,95.631,69.217,41.01,245.641,24.405,757.242,91.088,59.975,6.096,23.147,0,9056.858,691.427,17610.941,306.188,0,0,478.782,179.628,0,30916.346
"DOM_Q",70.733,1.231,5.013,0.282,0.089,0.198,2.018,1.031,131.545,74.796,5.021,26.023,10.363,210.389,91.33,38.107,22.789,98.318,16.679,93.089,572.919,77.718,89.262,23.203,19.529,19.939,76.896,2.557,12.257,148.346,56.54,52.851,0.871,17.788,24.078,1.232,84.81,12.61,2.561,9.26,7.322,5.203,334.656,15.186,1021.329,17.618,96.225,13.371,39.243,0,7614.883,1154.279,21392.322,465.587,0,0,349.419,1530.676,0,36261.591
"DOM_R",0,0.028,0,0,0,0,0,0,5.281,2.328,0.202,2.225,0.025,2.316,0.162,1.653,0.822,1.505,1.086,4.736,15.979,2.783,6.059,1.07,0.566,1.062,18.581,0.053,0.677,9.965,178.597,1.23,0.018,0.163,1.387,0.029,2.256,137.839,0.018,0.901,10.029,50.285,154.049,8.409,179.259,7.502,1.453,162.508,359.211,0,3768.951,609.828,1280.234,126.592,0,0,650.21,748.15,0,8518.273
"DOM_S",0.466,0.017,2.066,0.343,0.954,0.236,2.191,1.509,32.524,17.671,2.952,10.212,0.704,35.82,8.524,31.036,22.918,55.486,12.403,85.094,702.079,22.514,21.467,14.118,2.872,5.888,163.573,3.359,16.078,27.638,191.708,4.544,0.513,11.612,18.1,2.328,52.991,22.192,118.581,23.21,528.251,226.529,216.852,28.346,457.672,53.902,423.209,20.316,1345.781,0,17425.145,2708.432,0.063,1.471,0,0,403.636,0.324,0,25588.418
"DOM_T",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4188.055,0,0,0,0,0,0,0,0,4188.055
"IMP_A01",597.421,0.096,3.111,0.004,0.009,0.002,0.017,0.011,1863.49,30.23,3.736,3.041,0.341,4.518,8.166,2.57,0.491,0.598,0.148,0.353,4.376,0.303,5.225,0.4,0.096,0.079,1.409,0.432,0.079,15.904,15.974,0.169,0.093,0.37,0.157,0.039,247.787,0.157,0.142,0.11,0.131,1.842,0.467,3.223,7.491,1.835,0.349,1.88,1.171,0,1948.066,0.425,0.399,28.825,0.017,199.888,0,0,0,5007.662
"IMP_A02",2.385,0.147,0.013,0.025,0.001,0,0.002,0.002,8.004,0.192,43.948,54.84,0.035,0.771,0.033,34.278,0.048,0.064,0.021,0.061,0.329,0.051,0.105,0.027,0.438,0.01,13.219,0.04,0.007,5.603,0.214,0.015,0.006,0.023,0.015,0.009,1.509,0.01,0.013,0.012,0.012,0.019,0.058,0.521,0.161,0.025,0.033,0.012,0.044,0,7.572,1.77,0.034,35.451,0.01,1.54,0,0,0,213.787
