"","A01","A02","A03","B05","B06","B07","B08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24A","C24B","C25","C26","C27","C28","C29","C301","C302T309","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","..","TOTAL"
"IMP_C21",39.652,0.003,1.481,0.022,0.035,0.014,0.111,0.07,57.223,4.242,0.252,2.533,2.911,75.508,377.298,11.976,2.284,4.603,1.733,3.279,59.039,2.612,5.043,1.275,0.801,0.942,5.382,3.104,0.638,5.978,10.207,0.749,0.137,1.363,0.236,0.036,1.925,0.537,0.598,0.715,0.413,0.493,63.371,1.569,230.965,19.815,1838.404,0.613,2.542,0,1247.325,0.963,2624.85,49.418,0.109,42.395,0,0,0,6809.788
"IMP_C22",29.212,0.014,0.749,0.096,0.053,0.051,0.474,0.398,229.297,68.582,16.05,90.407,2.166,127.272,38.765,511.275,25.754,9.367,14.605,122.984,1043.309,175.774,244.026,183.158,4.785,78.278,266.349,1.986,16.477,528.33,438.875,33.765,0.076,1.169,1.395,0.238,129.475,5.931,2.181,0.613,0.301,1.033,40.616,22.272,33.56,13.118,13.238,5.761,6.054,0,472.321,0.016,4.946,51.022,0.143,7.938,0,0,0,5116.101
"IMP_C23",1.087,0.001,0.105,0.021,0.013,0.014,0.144,0.08,23.764,17.684,0.635,2.513,1.655,52.929,9.353,6.671,440.934,57.155,5.022,21.4,918.184,43.552,27.556,8.351,12.677,1.442,20.407,3.27,5.634,1551.848,8.516,0.6,0.13,0.822,0.207,0.05,13.804,0.244,0.271,0.227,0.183,0.738,5.982,1.92,5.737,9.111,3.913,0.32,0.353,0,76.313,0.006,1.357,15.806,0.041,5.424,0,0,0,3386.177
"IMP_C24A",1.023,0.007,0.984,0.123,0.138,0.087,0.898,0.435,1.506,1.814,0.593,2.532,5.929,40.484,0.498,26.536,33.617,3009.254,28.606,2032.551,197.445,218.129,1262.046,253.329,134.383,146.397,281.952,3.388,34.617,1459.849,13.881,7.009,0.49,8.358,2.038,0.202,0.538,0.152,0.323,0.068,0.109,0.226,7.068,3.325,4.93,2.744,0.431,0.139,1.393,0,10.543,0.002,0.056,8.305,0.019,0.735,0,0,0,9252.235
"IMP_C24B",0.577,0.001,0.067,0.008,0.013,0.006,0.051,0.037,14.552,1.912,1.883,31.343,0.459,236.695,2.901,14.368,16.421,999.015,4089.894,611.002,1121.262,733.056,238.638,93.741,5.759,64.266,91.472,0.149,90.299,51.008,13.081,0.158,0.015,0.094,0.095,0.036,0.77,0.16,0.114,0.103,0.119,0.087,5.88,0.618,2.699,0.668,2.702,0.163,0.576,0,14.588,0.002,0.299,18.873,0.049,1.536,0,0,0,8574.341
"IMP_C25",10.602,0.028,0.272,0.239,0.255,0.122,1.186,1.016,92.939,11.242,7.294,10.538,4.918,50.658,4.625,61.63,27.047,160.647,72.104,783.698,570.676,262.582,581.977,123.452,93.079,57.686,214.991,7.812,5.929,1199.635,23.464,3.009,0.867,4.226,3.077,0.153,31.909,1.52,0.96,4.206,0.355,3.2,22.93,12.537,116.46,12.338,19.675,1.669,9.686,0,316.493,0.015,2.823,867.641,2.254,9.693,0,0,0,5890.043
"IMP_C26",1.883,0.02,0.361,0.051,0.46,0.031,0.276,0.222,5.783,4.866,0.598,3.927,4.523,116.928,13.779,16.629,6.478,18.696,5.87,18.946,28677.907,604.17,346.345,43.94,78.279,14.787,140.494,5.253,32.902,225.353,124.339,4.672,0.341,10.175,2.893,0.475,9.528,20.921,36.999,183.126,16.548,15.206,286.051,29.69,34.086,80.292,141.506,16.178,5.291,0,10377.547,1.356,9.015,14228.834,36.864,47.777,0,0,0,56109.466
"IMP_C27",2.407,0.027,1.942,0.2,0.176,0.09,0.889,0.848,3.14,3.179,0.791,2.863,3.365,18.185,2.811,18.325,7.409,28.041,13.757,50.778,1112.481,3316.991,765.705,119.701,140.154,47.795,184.305,8.23,5.925,1634.525,32.146,4.266,0.163,3.972,3.918,0.204,1.624,5.89,43.529,27.084,1.523,13.571,81.924,36.892,50.235,73.838,24.309,2.525,9.359,0,3245.609,0.016,62.439,1999.151,5.288,25.263,0,0,0,13249.772
"IMP_C28",28.991,0.046,3.69,3.194,5.711,1.967,18.681,16.627,32.017,15.265,6.173,29.493,22.185,115.588,3.199,56.763,143.838,138.225,15.517,208.203,1823.103,453.995,4027.606,144.621,168.075,85.25,1124.29,9.969,74.417,1132.606,44.657,6.493,0.598,12.119,8.22,0.954,5.352,5.568,1.489,3.606,3.801,2.393,43.428,51.74,47.723,36.718,12.124,5.09,26.354,0,157.598,0.3,8.833,23108.53,60.038,9.818,0,0,0,33572.848
"IMP_C29",0.566,0.009,0.124,0.025,0.066,0.014,0.131,0.109,1.633,4.631,0.403,0.853,1.324,4.928,0.392,9.366,1.878,5.735,4.52,6.803,97.448,37.683,42.363,2020.117,5.362,56.027,11.391,1.828,1.011,26.653,334.556,41.772,0.105,1.881,1.351,0.142,1.465,0.345,0.793,1.243,0.615,1.186,7.074,18.192,6.607,2.702,2.41,0.437,0.649,0,3452.347,0.03,69.843,2843.795,7.464,44.531,0,0,0,9184.929
